passenger_id,gender,age_group,state,travel_type,occupation,travel_frequency
P00093,Female,36-50,Tamil Nadu,Business,IT Employee,High
P00094,Female,18-25,Delhi,Personal,Business Owner,Medium
P00095,Male,50+,Telangana,Personal,Student,Low
P00096,Male,36-50,Telangana,Personal,Government Employee,Medium
P00097,Female,36-50,Delhi,Personal,Business Owner,Low
P00098,Female,18-25,Karnataka,Business,Student,Medium
P00099,Male,36-50,Andhra Pradesh,Business,Doctor,Low
P00100,Male,26-35,Karnataka,Personal,Doctor,High
P00101,Male,18-25,Maharashtra,Business,IT Employee,High
P00102,Female,18-25,Tamil Nadu,Business,Government Employee,Low
P00103,Female,36-50,Maharashtra,Business,Teacher,Medium
P00104,Male,36-50,Andhra Pradesh,Business,Doctor,Low
P00105,Female,26-35,Delhi,Business,Business Owner,Low
P00106,Female,18-25,Tamil Nadu,Business,Teacher,Medium
P00107,Male,50+,Tamil Nadu,Personal,Teacher,Medium
P00108,Female,18-25,Karnataka,Business,Student,High
P00109,Female,50+,Maharashtra,Personal,Business Owner,Low
P00110,Male,36-50,Maharashtra,Personal,Government Employee,High
P00111,Female,26-35,Andhra Pradesh,Personal,IT Employee,High
P00112,Female,18-25,Telangana,Business,Government Employee,High
P00113,Female,36-50,Andhra Pradesh,Personal,Business Owner,Low
P00114,Female,18-25,Maharashtra,Personal,Doctor,Low
P00115,Female,18-25,Telangana,Personal,Teacher,High
P00116,Male,18-25,Telangana,Personal,Student,High
P00117,Female,26-35,Maharashtra,Personal,Government Employee,Low
P00118,Male,26-35,Maharashtra,Business,Teacher,Low
P00119,Female,18-25,Telangana,Personal,Business Owner,Medium
P00120,Female,36-50,Telangana,Business,Teacher,Low
P00121,Female,50+,Delhi,Personal,Teacher,Medium
P00122,Male,26-35,Andhra Pradesh,Personal,IT Employee,Medium
P00123,Female,36-50,Maharashtra,Personal,IT Employee,Medium
P00124,Female,36-50,Andhra Pradesh,Business,Business Owner,Low
P00125,Male,50+,Andhra Pradesh,Personal,Student,Low
P00126,Female,36-50,Karnataka,Business,Government Employee,Medium
P00127,Female,26-35,Telangana,Business,Teacher,Low
P00128,Male,26-35,Andhra Pradesh,Personal,Business Owner,Low
P00129,Male,50+,Telangana,Business,Government Employee,High
P00130,Male,26-35,Andhra Pradesh,Business,IT Employee,Low
P00131,Female,50+,Telangana,Business,Doctor,Low
P00132,Male,26-35,Andhra Pradesh,Personal,Teacher,Low
P00133,Male,18-25,Delhi,Business,Student,Medium
P00134,Male,50+,Delhi,Personal,IT Employee,Low
P00135,Female,18-25,Telangana,Personal,Government Employee,Medium
P00136,Male,26-35,Tamil Nadu,Business,Teacher,High
P00137,Male,50+,Tamil Nadu,Personal,Student,High
P00138,Male,18-25,Andhra Pradesh,Personal,Government Employee,Medium
P00139,Female,50+,Delhi,Business,Business Owner,Medium
P00140,Male,36-50,Karnataka,Personal,IT Employee,Low
P00141,Male,18-25,Maharashtra,Personal,IT Employee,High
P00142,Female,50+,Delhi,Personal,Government Employee,Medium
P00143,Male,50+,Andhra Pradesh,Business,Business Owner,High
P00144,Male,50+,Maharashtra,Business,Doctor,Low
P00145,Female,36-50,Tamil Nadu,Personal,IT Employee,Medium
P00146,Female,26-35,Andhra Pradesh,Business,Business Owner,Low
P00147,Female,18-25,Maharashtra,Personal,Doctor,High
P00148,Female,50+,Andhra Pradesh,Personal,IT Employee,Medium
P00149,Male,26-35,Tamil Nadu,Personal,Business Owner,High
P00150,Male,18-25,Delhi,Personal,Government Employee,Medium
P00151,Female,50+,Tamil Nadu,Business,IT Employee,Low
P00152,Male,36-50,Delhi,Personal,Business Owner,Low
P00153,Male,50+,Maharashtra,Business,Student,High
P00154,Male,50+,Andhra Pradesh,Personal,Teacher,High
P00155,Female,18-25,Telangana,Personal,Business Owner,High
P00156,Male,18-25,Telangana,Personal,Student,Medium
P00157,Male,50+,Tamil Nadu,Business,Student,Medium
P00158,Female,50+,Maharashtra,Personal,Student,Low
P00159,Female,18-25,Tamil Nadu,Personal,Doctor,Medium
P00160,Male,18-25,Maharashtra,Personal,Doctor,Medium
P00161,Female,18-25,Telangana,Business,IT Employee,Medium
P00162,Male,36-50,Telangana,Personal,Doctor,High
P00163,Male,36-50,Maharashtra,Business,Doctor,Low
P00164,Male,26-35,Telangana,Personal,Government Employee,High
P00165,Male,36-50,Andhra Pradesh,Personal,IT Employee,High
P00166,Female,50+,Tamil Nadu,Business,Teacher,Low
P00167,Female,50+,Tamil Nadu,Business,Student,Medium
P00168,Female,50+,Delhi,Personal,Doctor,Medium
P00169,Female,18-25,Andhra Pradesh,Business,Student,High
P00170,Female,36-50,Telangana,Business,Government Employee,Low
P00171,Male,18-25,Tamil Nadu,Personal,Teacher,Low
P00172,Female,18-25,Delhi,Personal,IT Employee,Medium
P00173,Female,18-25,Maharashtra,Business,Student,Medium
P00174,Male,18-25,Maharashtra,Business,Teacher,Low
P00175,Male,36-50,Telangana,Business,Teacher,Low
P00176,Female,26-35,Karnataka,Business,Teacher,Medium
P00177,Female,18-25,Delhi,Business,Government Employee,Low
P00178,Male,26-35,Maharashtra,Personal,Government Employee,Low
P00179,Female,36-50,Karnataka,Business,Government Employee,Medium
P00180,Male,18-25,Andhra Pradesh,Personal,Government Employee,Low
P00181,Male,50+,Andhra Pradesh,Personal,Teacher,Low
P00182,Female,26-35,Andhra Pradesh,Personal,IT Employee,Medium
P00183,Female,26-35,Maharashtra,Business,Business Owner,Medium
P00184,Female,18-25,Tamil Nadu,Personal,Business Owner,Medium
P00185,Female,36-50,Maharashtra,Business,Government Employee,High
P00186,Male,26-35,Karnataka,Business,Government Employee,Low
P00187,Male,50+,Telangana,Business,IT Employee,Low
P00188,Male,50+,Andhra Pradesh,Business,Student,Low
P00189,Male,50+,Karnataka,Personal,Business Owner,Medium
P00190,Male,18-25,Tamil Nadu,Business,Student,Medium
P00191,Female,18-25,Delhi,Business,Student,High
P00192,Male,18-25,Andhra Pradesh,Personal,Business Owner,High
P00193,Male,18-25,Delhi,Personal,Doctor,Low
P00194,Female,50+,Delhi,Personal,Teacher,High
P00195,Female,18-25,Andhra Pradesh,Personal,IT Employee,High
P00196,Female,50+,Maharashtra,Personal,Student,Low
P00197,Female,36-50,Maharashtra,Personal,Student,High
P00198,Female,36-50,Tamil Nadu,Business,Teacher,High
P00199,Male,36-50,Maharashtra,Personal,Teacher,High
P00200,Male,50+,Maharashtra,Personal,Business Owner,High
P00201,Male,26-35,Tamil Nadu,Business,IT Employee,Low
P00202,Female,18-25,Karnataka,Business,Government Employee,Medium
P00203,Female,18-25,Tamil Nadu,Business,Doctor,High
P00204,Male,36-50,Maharashtra,Personal,Government Employee,Medium
P00205,Male,36-50,Karnataka,Personal,IT Employee,Low
P00206,Male,26-35,Karnataka,Personal,Doctor,High
P00207,Male,18-25,Telangana,Business,Teacher,Medium
P00208,Male,26-35,Andhra Pradesh,Business,Government Employee,Medium
P00209,Male,50+,Telangana,Business,IT Employee,Medium
P00210,Male,18-25,Delhi,Business,IT Employee,High
P00211,Male,18-25,Andhra Pradesh,Business,IT Employee,Low
P00212,Male,50+,Maharashtra,Business,Government Employee,Low
P00213,Female,50+,Karnataka,Personal,IT Employee,High
P00214,Female,36-50,Karnataka,Personal,IT Employee,Low
P00215,Female,36-50,Andhra Pradesh,Business,Student,Low
P00216,Male,36-50,Maharashtra,Business,Government Employee,Medium
P00217,Male,36-50,Delhi,Business,Teacher,High
P00218,Female,50+,Telangana,Personal,IT Employee,Low
P00219,Male,26-35,Tamil Nadu,Business,IT Employee,High
P00220,Female,26-35,Maharashtra,Business,IT Employee,Low
P00221,Male,26-35,Delhi,Personal,IT Employee,Low
P00222,Female,50+,Telangana,Business,Teacher,High
P00223,Female,26-35,Delhi,Business,Teacher,Low
P00224,Male,36-50,Maharashtra,Personal,Government Employee,Medium
P00225,Female,26-35,Maharashtra,Business,Doctor,Medium
P00226,Male,26-35,Telangana,Personal,Teacher,Low
P00227,Male,26-35,Maharashtra,Business,Business Owner,Medium
P00228,Female,50+,Telangana,Business,IT Employee,Medium
P00229,Male,50+,Delhi,Business,IT Employee,High
P00230,Female,26-35,Tamil Nadu,Business,Business Owner,Medium
P00231,Female,36-50,Maharashtra,Personal,Doctor,Low
P00232,Male,18-25,Telangana,Personal,Teacher,High
P00233,Male,36-50,Delhi,Business,Government Employee,Low
P00234,Female,18-25,Maharashtra,Personal,Government Employee,Medium
P00235,Female,18-25,Karnataka,Business,Teacher,Low
P00236,Male,50+,Delhi,Personal,Government Employee,High
P00237,Male,26-35,Karnataka,Business,Government Employee,Medium
P00238,Female,36-50,Telangana,Personal,Doctor,Low
P00239,Female,26-35,Maharashtra,Business,IT Employee,High
P00240,Female,36-50,Tamil Nadu,Business,Business Owner,Medium
P00241,Male,26-35,Telangana,Business,Student,High
P00242,Male,18-25,Karnataka,Business,IT Employee,High
P00243,Female,18-25,Andhra Pradesh,Business,Business Owner,High
P00244,Male,18-25,Delhi,Business,Government Employee,Medium
P00245,Female,26-35,Telangana,Business,Business Owner,Low
P00246,Male,26-35,Telangana,Personal,Teacher,Medium
P00247,Female,50+,Maharashtra,Personal,Student,Low
P00248,Female,50+,Delhi,Personal,Teacher,Low
P00249,Male,18-25,Tamil Nadu,Personal,IT Employee,Low
P00250,Female,26-35,Karnataka,Business,Teacher,Medium
P00251,Female,36-50,Maharashtra,Business,Doctor,High
P00252,Male,26-35,Andhra Pradesh,Business,Student,Low
P00253,Female,36-50,Maharashtra,Business,Teacher,Medium
P00254,Male,36-50,Delhi,Business,Doctor,High
P00255,Female,36-50,Andhra Pradesh,Personal,Government Employee,Medium
P00256,Female,18-25,Delhi,Business,IT Employee,High
P00257,Male,18-25,Tamil Nadu,Personal,Doctor,Medium
P00258,Female,50+,Karnataka,Personal,Government Employee,Low
P00259,Female,36-50,Tamil Nadu,Business,Government Employee,Medium
P00260,Female,36-50,Maharashtra,Personal,Government Employee,High
P00261,Male,26-35,Maharashtra,Business,Government Employee,Low
P00262,Male,18-25,Andhra Pradesh,Business,Teacher,Low
P00263,Male,18-25,Maharashtra,Business,Government Employee,High
P00264,Female,26-35,Tamil Nadu,Personal,IT Employee,High
P00265,Male,50+,Maharashtra,Business,Student,Medium
P00266,Male,18-25,Delhi,Business,Teacher,High
P00267,Female,26-35,Andhra Pradesh,Personal,IT Employee,High
P00268,Male,50+,Tamil Nadu,Business,Government Employee,Low
P00269,Male,18-25,Maharashtra,Personal,IT Employee,High
P00270,Female,18-25,Tamil Nadu,Personal,Teacher,Low
P00271,Male,18-25,Delhi,Business,Doctor,High
P00272,Male,18-25,Delhi,Business,Teacher,Medium
P00273,Female,50+,Andhra Pradesh,Business,Student,Medium
P00274,Female,26-35,Tamil Nadu,Personal,Business Owner,Medium
P00275,Male,18-25,Karnataka,Business,Doctor,Low
P00276,Female,18-25,Karnataka,Personal,Doctor,Medium
P00277,Male,26-35,Telangana,Personal,IT Employee,High
P00278,Male,36-50,Delhi,Personal,IT Employee,Medium
P00279,Male,18-25,Delhi,Business,Business Owner,High
P00280,Female,26-35,Andhra Pradesh,Personal,Student,High
P00281,Female,36-50,Delhi,Business,Teacher,Medium
P00282,Female,26-35,Andhra Pradesh,Business,Student,Low
P00283,Male,18-25,Maharashtra,Business,Teacher,Medium
P00284,Female,18-25,Maharashtra,Personal,Student,High
P00285,Female,18-25,Delhi,Personal,Teacher,Low
P00286,Male,18-25,Tamil Nadu,Business,Business Owner,Low
P00287,Male,36-50,Telangana,Business,Student,High
P00288,Male,36-50,Andhra Pradesh,Personal,Business Owner,High
P00289,Male,36-50,Karnataka,Personal,Student,Low
P00290,Male,36-50,Tamil Nadu,Business,IT Employee,Medium
P00291,Male,18-25,Maharashtra,Business,IT Employee,Low
P00292,Male,18-25,Delhi,Personal,Government Employee,Medium
P00293,Male,18-25,Telangana,Personal,Doctor,Low
P00294,Female,50+,Tamil Nadu,Personal,Business Owner,Low
P00295,Female,50+,Karnataka,Business,Teacher,Low
P00296,Female,50+,Maharashtra,Business,Business Owner,High
P00297,Female,36-50,Tamil Nadu,Personal,Business Owner,High
P00298,Female,18-25,Andhra Pradesh,Business,Student,Low
P00299,Male,50+,Tamil Nadu,Business,Teacher,Low
P00300,Male,50+,Andhra Pradesh,Personal,IT Employee,Medium
P00301,Female,26-35,Telangana,Business,Government Employee,High
P00302,Male,50+,Delhi,Personal,Student,Low
P00303,Female,50+,Karnataka,Business,Doctor,Medium
P00304,Male,50+,Andhra Pradesh,Personal,Doctor,Low
P00305,Female,18-25,Delhi,Business,Government Employee,Medium
P00306,Male,26-35,Delhi,Business,Student,Low
P00307,Female,36-50,Karnataka,Business,Student,Low
P00308,Male,50+,Telangana,Business,IT Employee,High
P00309,Male,50+,Maharashtra,Business,Doctor,High
P00310,Male,50+,Telangana,Business,Student,Medium
P00311,Male,36-50,Telangana,Business,Business Owner,Medium
P00312,Male,36-50,Karnataka,Business,Doctor,Medium
P00313,Female,50+,Maharashtra,Personal,Student,Medium
P00314,Male,26-35,Telangana,Business,Student,Low
P00315,Female,18-25,Karnataka,Business,Doctor,High
P00316,Female,18-25,Delhi,Business,Government Employee,High
P00317,Male,18-25,Tamil Nadu,Business,Doctor,High
P00318,Male,50+,Tamil Nadu,Business,Student,Medium
P00319,Male,26-35,Karnataka,Personal,Government Employee,Low
P00320,Male,50+,Delhi,Personal,Government Employee,Medium
P00321,Male,36-50,Maharashtra,Personal,Student,Medium
P00322,Male,36-50,Telangana,Business,Government Employee,High
P00323,Male,36-50,Tamil Nadu,Business,Doctor,Medium
P00324,Male,18-25,Karnataka,Business,Business Owner,Medium
P00325,Female,36-50,Delhi,Personal,Teacher,High
P00326,Female,36-50,Delhi,Business,Business Owner,Medium
P00327,Female,18-25,Andhra Pradesh,Business,Student,High
P00328,Female,50+,Andhra Pradesh,Business,Student,Low
P00329,Female,50+,Karnataka,Business,Government Employee,High
P00330,Female,36-50,Maharashtra,Personal,Doctor,Low
P00331,Female,18-25,Karnataka,Personal,Business Owner,Medium
P00332,Female,50+,Karnataka,Business,Student,Low
P00333,Male,26-35,Tamil Nadu,Business,Business Owner,Low
P00334,Female,36-50,Andhra Pradesh,Personal,IT Employee,Medium
P00335,Female,26-35,Maharashtra,Business,Student,Medium
P00336,Female,26-35,Karnataka,Business,Government Employee,Low
P00337,Male,50+,Telangana,Business,Teacher,High
P00338,Female,18-25,Telangana,Business,Doctor,Low
P00339,Female,50+,Karnataka,Personal,Government Employee,High
P00340,Female,36-50,Karnataka,Personal,Student,Low
P00341,Female,26-35,Maharashtra,Personal,Student,Low
P00342,Female,50+,Maharashtra,Personal,Business Owner,Low
P00343,Male,50+,Karnataka,Personal,Business Owner,Medium
P00344,Male,50+,Karnataka,Business,Business Owner,Low
P00345,Male,18-25,Andhra Pradesh,Personal,Government Employee,High
P00346,Female,36-50,Maharashtra,Personal,Business Owner,High
P00347,Female,50+,Tamil Nadu,Business,Teacher,Low
P00348,Female,36-50,Telangana,Business,Student,Low
P00349,Male,50+,Telangana,Business,IT Employee,Medium
P00350,Male,18-25,Delhi,Personal,Doctor,High
P00351,Male,26-35,Delhi,Business,Business Owner,Medium
P00352,Female,18-25,Maharashtra,Business,Student,Medium
P00353,Male,36-50,Tamil Nadu,Business,IT Employee,Medium
P00354,Male,26-35,Delhi,Business,Business Owner,High
P00355,Female,18-25,Karnataka,Business,Government Employee,High
P00356,Female,18-25,Maharashtra,Personal,Doctor,Low
P00357,Female,18-25,Delhi,Business,Teacher,Low
P00358,Female,36-50,Tamil Nadu,Business,Business Owner,Medium
P00359,Male,50+,Maharashtra,Personal,Business Owner,Low
P00360,Male,50+,Telangana,Business,Government Employee,Medium
P00361,Male,18-25,Delhi,Business,Government Employee,Low
P00362,Male,26-35,Maharashtra,Personal,Doctor,High
P00363,Female,50+,Karnataka,Personal,IT Employee,Low
P00364,Male,50+,Karnataka,Personal,Student,Low
P00365,Male,26-35,Telangana,Personal,Doctor,Low
P00366,Male,50+,Telangana,Personal,Teacher,Medium
P00367,Male,50+,Tamil Nadu,Business,Teacher,High
P00368,Female,18-25,Telangana,Business,Teacher,Low
P00369,Male,18-25,Telangana,Personal,Teacher,Medium
P00370,Male,18-25,Karnataka,Personal,Doctor,Low
P00371,Female,26-35,Delhi,Business,IT Employee,Low
P00372,Female,18-25,Maharashtra,Personal,Doctor,Medium
P00373,Male,18-25,Andhra Pradesh,Business,IT Employee,Medium
P00374,Female,18-25,Maharashtra,Personal,Doctor,Medium
P00375,Male,26-35,Maharashtra,Personal,Doctor,High
P00376,Male,18-25,Maharashtra,Business,Doctor,Medium
P00377,Male,26-35,Andhra Pradesh,Business,Student,High
P00378,Male,18-25,Maharashtra,Business,IT Employee,High
P00379,Female,50+,Telangana,Business,Teacher,Medium
P00380,Female,50+,Maharashtra,Personal,Government Employee,High
P00381,Female,26-35,Telangana,Business,Student,Low
P00382,Female,26-35,Andhra Pradesh,Business,Government Employee,High
P00383,Male,36-50,Karnataka,Personal,Doctor,Medium
P00384,Male,36-50,Telangana,Business,Business Owner,Low
P00385,Female,26-35,Andhra Pradesh,Personal,Teacher,Low
P00386,Female,18-25,Tamil Nadu,Personal,Business Owner,Medium
P00387,Male,36-50,Tamil Nadu,Personal,Student,Low
P00388,Male,36-50,Maharashtra,Business,Government Employee,Medium
P00389,Male,18-25,Maharashtra,Business,Teacher,Medium
P00390,Female,36-50,Maharashtra,Business,Business Owner,High
P00391,Female,26-35,Karnataka,Business,Student,Medium
P00392,Female,26-35,Telangana,Personal,Doctor,Medium
P00393,Female,18-25,Telangana,Personal,Business Owner,Medium
P00394,Female,18-25,Tamil Nadu,Personal,Doctor,High
P00395,Female,26-35,Maharashtra,Personal,Business Owner,Low
P00396,Female,18-25,Maharashtra,Personal,Doctor,High
P00397,Female,18-25,Maharashtra,Business,Student,Medium
P00398,Male,50+,Andhra Pradesh,Business,Doctor,Low
P00399,Male,50+,Tamil Nadu,Business,Teacher,High
P00400,Male,18-25,Karnataka,Business,Teacher,Medium
P00401,Female,18-25,Tamil Nadu,Business,IT Employee,Medium
P00402,Female,50+,Telangana,Business,Student,High
P00403,Male,50+,Andhra Pradesh,Business,Student,High
P00404,Female,26-35,Karnataka,Business,Government Employee,High
P00405,Female,50+,Telangana,Personal,Doctor,Medium
P00406,Male,18-25,Telangana,Personal,Teacher,Medium
P00407,Male,18-25,Maharashtra,Personal,IT Employee,Medium
P00408,Male,18-25,Delhi,Business,Teacher,Medium
P00409,Male,18-25,Karnataka,Business,IT Employee,Medium
P00410,Male,26-35,Andhra Pradesh,Personal,IT Employee,Low
P00411,Male,36-50,Maharashtra,Business,Teacher,Medium
P00412,Male,36-50,Maharashtra,Personal,IT Employee,High
P00413,Female,50+,Delhi,Business,Teacher,Low
P00414,Male,36-50,Tamil Nadu,Business,Teacher,Medium
P00415,Female,18-25,Tamil Nadu,Personal,Doctor,High
P00416,Male,50+,Andhra Pradesh,Business,Doctor,High
P00417,Male,50+,Tamil Nadu,Business,Business Owner,High
P00418,Female,36-50,Telangana,Business,IT Employee,Low
P00419,Female,26-35,Delhi,Business,Student,High
P00420,Male,36-50,Telangana,Personal,Government Employee,High
P00421,Female,36-50,Delhi,Business,Student,High
P00422,Female,26-35,Telangana,Personal,IT Employee,Medium
P00423,Male,18-25,Telangana,Business,Teacher,Medium
P00424,Female,50+,Delhi,Business,Government Employee,High
P00425,Male,36-50,Telangana,Personal,IT Employee,Medium
P00426,Female,50+,Delhi,Business,Government Employee,Medium
P00427,Female,18-25,Tamil Nadu,Personal,Student,Medium
P00428,Female,50+,Maharashtra,Personal,Business Owner,Medium
P00429,Male,50+,Telangana,Business,Government Employee,Low
P00430,Female,50+,Karnataka,Business,IT Employee,Low
P00431,Female,50+,Tamil Nadu,Personal,Student,Low
P00432,Female,50+,Maharashtra,Business,Doctor,Medium
P00433,Female,18-25,Maharashtra,Personal,Teacher,High
P00434,Female,50+,Andhra Pradesh,Personal,Doctor,High
P00435,Male,50+,Andhra Pradesh,Personal,Business Owner,Medium
P00436,Male,26-35,Delhi,Personal,Teacher,Medium
P00437,Male,26-35,Tamil Nadu,Personal,Business Owner,Low
P00438,Female,18-25,Maharashtra,Business,Student,Medium
P00439,Male,26-35,Telangana,Business,Government Employee,Low
P00440,Female,26-35,Karnataka,Business,Student,Medium
P00441,Male,50+,Delhi,Business,Teacher,Low
P00442,Male,50+,Maharashtra,Personal,Teacher,Medium
P00443,Male,26-35,Maharashtra,Personal,Government Employee,High
P00444,Male,50+,Karnataka,Personal,Business Owner,Low
P00445,Male,36-50,Maharashtra,Business,Government Employee,Medium
P00446,Male,26-35,Andhra Pradesh,Business,Doctor,Low
P00447,Female,26-35,Maharashtra,Personal,IT Employee,High
P00448,Female,50+,Telangana,Business,Teacher,Low
P00449,Female,26-35,Tamil Nadu,Business,Student,Medium
P00450,Female,36-50,Tamil Nadu,Business,Business Owner,Medium
P00451,Female,50+,Maharashtra,Business,Business Owner,High
P00452,Female,26-35,Telangana,Business,Business Owner,Medium
P00453,Male,18-25,Telangana,Business,Teacher,High
P00454,Male,50+,Delhi,Personal,Student,Low
P00455,Male,36-50,Delhi,Business,Business Owner,Low
P00456,Male,36-50,Tamil Nadu,Business,Business Owner,High
P00457,Male,50+,Telangana,Personal,Government Employee,Medium
P00458,Female,50+,Delhi,Personal,Business Owner,Low
P00459,Male,50+,Karnataka,Personal,Teacher,Low
P00460,Female,18-25,Delhi,Business,IT Employee,Medium
P00461,Male,50+,Maharashtra,Personal,Student,High
P00462,Male,50+,Tamil Nadu,Personal,Teacher,Low
P00463,Male,36-50,Maharashtra,Business,Doctor,Medium
P00464,Female,36-50,Andhra Pradesh,Business,Student,High
P00465,Male,50+,Delhi,Business,Government Employee,Medium
P00466,Female,36-50,Tamil Nadu,Personal,Student,Medium
P00467,Male,50+,Maharashtra,Business,Student,Medium
P00468,Female,26-35,Tamil Nadu,Personal,IT Employee,High
P00469,Male,50+,Maharashtra,Personal,Doctor,Medium
P00470,Male,26-35,Maharashtra,Personal,Business Owner,High
P00471,Female,36-50,Delhi,Business,Doctor,High
P00472,Male,18-25,Karnataka,Personal,Business Owner,Medium
P00473,Female,50+,Telangana,Business,Student,Low
P00474,Male,26-35,Tamil Nadu,Personal,Business Owner,High
P00475,Male,50+,Andhra Pradesh,Personal,Student,Low
P00476,Male,36-50,Delhi,Business,Government Employee,High
