train_id,train_name,source_station,destination_station,train_category,distance_km,avg_travel_hours,base_fare,zone
TR062,Contractor PLC Express,Vijayawada,Hyderabad,Rajdhani,1406,6.5,1960,South Central
TR063,Jaggi Ltd Express,Bengaluru,Pune,Intercity,234,13.1,859,East Coast
TR064,Dar Ltd Express,Guntur,Mumbai,Shatabdi,1791,5.5,3303,East Coast
TR065,Badami and Sons Express,Delhi,Visakhapatnam,Express,1018,9.7,3674,Southern
TR066,Sem Inc Express,Mumbai,Visakhapatnam,Superfast,2461,27.0,880,Northern
TR067,"Pandey, Char and Dutta Express",Vijayawada,Chennai,Shatabdi,1653,2.7,1669,East Coast
TR068,Mandal Inc Express,Kolkata,Bengaluru,Shatabdi,2378,9.7,1331,Southern
TR069,Mahajan PLC Express,Chennai,Visakhapatnam,Intercity,1977,21.7,1802,East Coast
TR070,Dey-Sur Express,Mumbai,Chennai,Intercity,2258,22.2,3518,South Central
TR071,Mohan-Om Express,Kolkata,Mumbai,Shatabdi,1794,4.2,2122,South Central
TR072,Anand-Kala Express,Vijayawada,Chennai,Intercity,167,9.0,4413,Southern
TR073,"Bhatt, Murthy and Pal Express",Hyderabad,Guntur,Duronto,1983,8.6,226,South Central
TR074,Gaba and Sons Express,Hyderabad,Visakhapatnam,Shatabdi,599,8.0,4044,Western
TR075,"Goel, Samra and De Express",Vijayawada,Pune,Duronto,1710,3.8,4679,East Coast
TR076,Chadha LLC Express,Pune,Kolkata,Duronto,2051,4.3,1864,East Coast
TR077,Bath-Srinivasan Express,Guntur,Delhi,Rajdhani,1914,2.6,2805,Western
TR078,Hayre and Sons Express,Vijayawada,Pune,Rajdhani,1064,20.8,2450,Western
TR079,Bains-Kanda Express,Pune,Hyderabad,Rajdhani,2419,13.6,4493,Northern
TR080,Amble PLC Express,Vijayawada,Kolkata,Intercity,1731,18.7,3581,Southern
TR081,"Sandal, Gade and Bumb Express",Chennai,Visakhapatnam,Rajdhani,160,13.6,3991,Southern
TR082,"Barad, Puri and Dass Express",Bengaluru,Vijayawada,Express,862,2.0,2424,Northern
TR083,Krishnan-Dass Express,Delhi,Kolkata,Superfast,962,13.0,3619,East Coast
TR084,"Batra, Sandhu and Mitter Express",Vijayawada,Visakhapatnam,Express,2060,15.6,3905,Western
TR085,Vig Inc Express,Mumbai,Bengaluru,Duronto,1926,5.7,4231,East Coast
TR086,Borah-Sathe Express,Vijayawada,Mumbai,Superfast,1245,9.2,4611,Northern
TR087,Cheema Group Express,Vijayawada,Guntur,Intercity,1416,23.7,2550,South Central
TR088,Thakkar-Venkatesh Express,Kolkata,Delhi,Rajdhani,1983,12.4,3876,South Central
TR089,Boase-Sathe Express,Chennai,Mumbai,Shatabdi,1878,12.7,1265,Western
TR090,Chauhan and Sons Express,Guntur,Delhi,Express,429,25.4,1073,Western
TR091,Tiwari-Bhattacharyya Express,Guntur,Chennai,Duronto,283,16.0,4512,South Central
TR092,Rai PLC Express,Vijayawada,Bengaluru,Rajdhani,1281,11.4,640,Western
TR093,"Sengupta, Chada and Narayanan Express",Vijayawada,Guntur,Superfast,522,27.3,2295,Northern
TR094,Yohannan Ltd Express,Hyderabad,Bengaluru,Intercity,1837,26.6,2241,Northern
TR095,Chadha-Sachdev Express,Kolkata,Pune,Duronto,2253,10.5,4206,Southern
TR096,Jha and Sons Express,Chennai,Vijayawada,Express,279,8.5,2770,Southern
TR097,"Mall, Dewan and Ramaswamy Express",Mumbai,Guntur,Duronto,1796,3.6,3122,Northern
TR098,Suresh Inc Express,Delhi,Pune,Intercity,112,6.6,4415,East Coast
TR099,"Rai, Virk and Krishnamurthy Express",Guntur,Kolkata,Rajdhani,2140,6.3,785,East Coast
TR100,Mukhopadhyay-Banerjee Express,Hyderabad,Guntur,Duronto,462,19.9,1566,Southern
TR101,Banerjee-Bahri Express,Vijayawada,Chennai,Superfast,292,24.4,3861,South Central
TR102,Choudhary-Chopra Express,Mumbai,Kolkata,Express,1424,16.4,224,Western
TR103,Tella LLC Express,Delhi,Bengaluru,Intercity,1871,5.3,509,East Coast
TR104,Bhatt Ltd Express,Guntur,Pune,Shatabdi,1361,11.9,829,East Coast
TR105,Balasubramanian Group Express,Visakhapatnam,Delhi,Rajdhani,2181,17.6,3066,East Coast
TR106,"Mangat, Mander and Buch Express",Kolkata,Hyderabad,Express,1827,4.0,2680,Northern
TR107,Mitter-Dewan Express,Chennai,Kolkata,Express,1362,6.6,3639,South Central
TR108,"Bhagat, Buch and Vig Express",Guntur,Vijayawada,Express,230,10.5,2878,Western
TR109,"Brar, Rastogi and Vohra Express",Guntur,Kolkata,Superfast,435,23.8,4929,East Coast
TR110,Madan-Menon Express,Mumbai,Kolkata,Rajdhani,2163,6.0,3768,Northern
TR111,"Sarin, Srivastava and Kapur Express",Chennai,Delhi,Intercity,393,2.7,3509,Northern
TR112,"Rout, Mall and Mani Express",Chennai,Delhi,Shatabdi,633,20.7,3365,Northern
TR113,Kapur PLC Express,Mumbai,Delhi,Shatabdi,583,2.1,2845,East Coast
TR114,"Sengupta, Pall and Goel Express",Guntur,Hyderabad,Express,2474,22.7,1813,Southern
TR115,"Dewan, Deep and Mittal Express",Kolkata,Visakhapatnam,Superfast,1761,2.2,424,Northern
TR116,Dugal-Warrior Express,Bengaluru,Guntur,Superfast,765,17.9,805,East Coast
TR117,"Sandhu, Mallick and Dar Express",Pune,Guntur,Shatabdi,1476,19.0,3313,South Central
TR118,"Anand, Sundaram and Gade Express",Chennai,Bengaluru,Rajdhani,1646,24.4,1270,Northern
TR119,Sethi-Sane Express,Chennai,Visakhapatnam,Intercity,142,2.6,3101,South Central
TR120,"Gour, Agarwal and Lal Express",Guntur,Delhi,Duronto,2261,11.9,493,East Coast
